Date,HarvestedPixelCount 
2017-01-01,1205
2017-01-11,1473
2017-02-10,1377
2017-02-20,2481
2017-03-02,860
2017-03-12,724
2017-04-01,1029
2017-04-11,253
2017-05-01,3502
2017-05-11,6760
2017-05-21,1047
2017-05-31,1767
2017-06-20,1676
2017-07-10,1827
2017-07-20,10111
2017-07-30,4311
2017-08-09,6684
2017-08-19,3827
2017-09-08,1742
2017-09-18,4981
2017-09-28,7281
2017-10-08,3122
2017-10-28,1150
2017-11-07,2638
2017-11-17,635
2017-11-27,624
2017-12-07,1404
2017-12-17,585
2017-12-27,1610
2018-01-06,1676
2018-01-26,995
2018-02-15,3389
2018-03-17,296
2018-04-16,170
2018-04-26,1462
2018-05-06,2787
2018-05-26,3907
2018-06-05,3373
2018-06-15,603
2018-06-25,2557
2018-07-05,9989
2018-07-15,1676
2018-07-25,3920
2018-08-04,5057
2018-08-14,5620
2018-08-24,3381
2018-09-03,5058
2018-09-13,1780
2018-10-03,7468
2018-10-23,2309
2018-11-02,322
2018-11-12,470
2018-11-22,2079
2018-12-02,5565
2019-01-01,528
2019-01-21,2738
2019-02-20,211
2019-03-02,723
2019-03-12,191
2019-04-11,1555
2019-04-21,667
2019-05-01,481
2019-05-11,1967
2019-05-21,140
2019-06-10,2921
2019-06-20,1984
2019-06-30,676
2019-07-20,4067
2019-07-30,3566
2019-08-09,12682
